"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"70","RT @_Lara_Annie: One Man preaching inside bus just said Bible means: Basic Instruction Before Leaving Earth.

Retweet if you never knew the‚Ä¶",FALSE,0,NA,2018-01-31 00:34:09,FALSE,NA,"958498603378540545",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","YourGirlMons",78,TRUE,FALSE,NA,NA
"71","RT @manoharparrikar: Flagged-off Goa‚Äôs first 100% electric bus, run by Kadamba. Goa Government is committed to providing convenient &amp; eco-f‚Ä¶",FALSE,0,NA,2018-01-31 00:34:08,FALSE,NA,"958498598026584064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PintooVivek",857,TRUE,FALSE,NA,NA
"72","RT @KrissyLionz: When you took a bus to go by your man‚Äôs house in your teenage years &amp; you‚Äôre hoping the bus doesn‚Äôt crash cause your paren‚Ä¶",FALSE,0,NA,2018-01-31 00:34:08,FALSE,NA,"958498597561094145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zeemadeyoulook",35,TRUE,FALSE,NA,NA
"73","Wilmington bus riders clash with DART over elimination of Rodney Square stops https://t.co/Pr8T1YXf0q https://t.co/RnwGaBRFCp",FALSE,0,NA,2018-01-31 00:34:08,FALSE,NA,"958498596768362497",NA,"<a href=""http://bit.ly/1E7vDIf"" rel=""nofollow"">WilmingtonDErr</a>","WilmingtonDErr",0,FALSE,FALSE,NA,NA
"74","RT @PasionTricolor1: ""Esta banda va a estar siempre a tu lado"" Ì†ºÌæµÌ†ºÌæ∑ Algunos Bolsos esperaron al bus del DECANO y lo alentaron en la salida de‚Ä¶",FALSE,0,NA,2018-01-31 00:34:08,FALSE,NA,"958498596063731712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dieego11",8,TRUE,FALSE,NA,NA
"75","RT @TheR___: Dans la vie y‚Äôa d√®s truc t‚Äôoublie genre des truc banal mais moi j‚Äôai r√©ussi a oubli√© ma voiture et jsuis rentre en bus comme s‚Ä¶",FALSE,0,NA,2018-01-31 00:34:07,FALSE,NA,"958498594578948096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Loutis_So",690,TRUE,FALSE,NA,NA
"76","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:04,FALSE,NA,"958498582507802625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allisyn_f",18815,TRUE,FALSE,NA,NA
"77","RT @PublimetroCol: #Atenci√≥n Grave accidente: Bus de TransMilenio se sube a un and√©n dejando una persona herida y otra muerta. https://t.co‚Ä¶",FALSE,0,NA,2018-01-31 00:34:04,FALSE,NA,"958498581354307586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aidee121",78,TRUE,FALSE,NA,NA
"78","1:33, letzte bahn verpasst, 7km bus nach hause.

maybe ich bin f√ºr heute nacht obdachlos",FALSE,0,NA,2018-01-31 00:34:04,FALSE,NA,"958498579659788288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StayKozy",0,FALSE,FALSE,NA,NA
"79","RT @MickieJames: Shuttle bus driver - do you wrestle, box, mma?
Me- kinda... sometimes... why?  Him - Your hands.  They look like fighters‚Ä¶",FALSE,0,NA,2018-01-31 00:34:03,FALSE,NA,"958498577239572480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thedarioalvarez",97,TRUE,FALSE,NA,NA
